i,j,phi_index,epsilon,asymptotic,finite_horizon_limiting_object_at_k1000,log10_error_k1,log10_error_k10,log10_error_k99,log10_error_k100
-4,-4,1,99/5,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.0692791267692563,0.1551352606976053,0.15513526069742056,0.15513526069742056
-4,-4,2,49/2,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.12725248787338295,0.265200515148706,0.2652005151486492,0.2652005151486776
-4,-4,3,291/13,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.004897316840366983,0.19413962685833752,0.19413962685820252,0.19413962685820252
-4,-4,4,96/5,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.06945957122589164,0.16743441756577226,0.1674344175648912,0.1674344175648912
-4,-4,5,475/29,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.11784579939991247,0.16316363252870758,0.16316363252406063,0.16316363252406063
-4,-4,6,141/10,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.1496225920848353,0.17239131393110085,0.1723913139094293,0.1723913139094293
-4,-4,7,651/53,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.16944146688714135,0.19088606470374003,0.19088606461548352,0.19088606461554036
-4,-4,8,184/17,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.17977179596977777,0.21654128575919884,0.21654128544162177,0.21654128544162177
-4,-4,9,819/85,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.1818907911314227,0.24838356494959157,0.24838356392228889,0.24838356392223204
-4,-4,10,225/26,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.17631006964655782,0.2861544847261257,0.28615448169395563,0.28615448169395563
-4,-4,11,979/125,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.16294655509766187,0.3301489168314262,0.33014890855764634,0.3301489085575895
-4,-4,12,264/37,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.14114026730535478,0.3812051739717788,0.3812051528670395,0.38120515286709633
-4,-4,13,1131/173,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.10953238932602538,0.4408333644335798,0.4408333136448732,0.44083331364481637
-4,-4,14,301/50,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.06574195533987748,0.5115437919318282,0.5115436757387215,0.5115436757387215
-4,-4,15,1275/229,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.005641585891812184,0.5975752369527427,0.5975749826361039,0.5975749826361039
-4,-4,16,336/65,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.0783625086091817,0.7066181371892952,0.7066176018123542,0.7066176018124111
-4,-4,17,1411/293,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.20214930451983726,0.8546359099666034,0.8546348210780366,0.8546348210780366
-4,-4,18,9/2,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.40825986471307196,1.0842439138681996,1.0842417660261816,1.0842417660261816
-4,-4,19,1539/365,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.914582188076448,1.6133959996524752,1.6133918774040694,1.6133918774040694
-4,-4,20,400/101,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.7437161812061497,1.4647509258568334,1.4647432061433392,1.4647432061433392
-4,-4,21,1659/445,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.28592891041787993,1.0286288896267166,1.0286147491437987,1.0286147491437987
-4,-4,22,429/122,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.04958541424552365,0.8134435449880328,0.8134181557239799,0.8134181557239231
-4,-4,23,1771/533,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.11589985748364917,0.6686546777660922,0.6686099091515416,0.6686099091515416
-4,-4,24,456/145,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.24586254962751752,0.5589700939460513,0.5588924413551695,0.5588924413551695
-4,-4,25,1875/629,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.35437551003891166,0.47036023714293407,0.4702275467717527,0.47022754677180956
-4,-4,26,481/170,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.44849895770268233,0.3958103224436087,0.3955866561188941,0.3955866561188941
-4,-4,27,1971/733,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.532288729786865,0.3313153242304665,0.33094296549830915,0.330942965498366
-4,-4,28,504/197,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.6082950261877791,0.27438592857134125,0.2737730138177312,0.2737730138177312
-4,-4,29,2059/845,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.6782289848550569,0.2233889121239372,0.22239038453830062,0.22239038453830062
-4,-4,30,525/226,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.7432966201607858,0.17722362559072025,0.1756120070003817,0.1756120070003817
-4,-4,31,2139/965,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.8043814154787778,0.13515516184758525,0.13257577227608408,0.13257577227608408
-4,-4,32,544/257,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.862151117927664,0.09673161764511207,0.09263392060393016,0.09263392060393016
-4,-4,33,2211/1093,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.9171236399426768,0.061755359991103376,0.05528729986411918,0.05528729986411918
-4,-4,34,561/290,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.9697095454445215,0.030298991403618913,0.02014302074371699,0.02014302074371699
-4,-4,35,2275/1229,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.0071266320447805,0.015885131838913935,0.0,0.0
-4,-4,36,576/325,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.024249003497486,0.024795631491095094,0.0,0.0
-4,-4,37,2331/1373,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.0412347989460784,0.03872427387369726,0.0,0.0
-4,-4,38,589/362,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.0580984798400817,0.060741001301764186,0.0,0.0
-4,-4,39,39/25,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.074853933154536,0.09629183545598607,0.0,0.0
-4,-4,40,600/401,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.0915145468266516,0.15604128781735227,0.0,0.0
-4,-4,41,2419/1685,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.1080932792430875,0.26486399452665665,0.0,0.0
-4,-4,42,609/442,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.124602723731103,0.5066702754467443,-1.1368683772161603e-13,5.684341886080802e-14
-4,-4,43,2451/1853,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.1410551688958108,1.44638133862194,-6.934897101018578e-12,5.286437954055145e-12
-4,-4,44,616/485,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.1574626555557774,0.25610897201341487,-3.8698999560438097e-10,3.0468072509393096e-10
-4,-4,45,2475/2029,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.1738370309574186,-0.12335751742817536,-2.1123582882864866e-08,1.7317063338850858e-08
-4,-4,46,621/530,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.1901900008922262,-0.3948665744519886,-1.1351641546752944e-06,9.68822007507697e-07
-4,-4,47,2491/2213,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.2065331802982762,-0.6234110970278408,-6.025211717997081e-05,5.353488717219079e-05
-4,-4,48,624/577,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.222878142896974,-0.8300969676150984,-0.0031580271614757294,0.002940739770849632
-4,-4,49,2499/2405,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-1.2392364703969818,-1.0243562459441549,-0.14038987535309388,0.19878103551377535
-4,-4,50,625/626,STABLE,NONZERO_FIXED_POINT,-1.2556198017886686,-1.211146749717706,-1.3201524914161382,-1.2771996867937787
-4,-4,51,2499/2605,STABLE,NONZERO_FIXED_POINT,-1.2720398832545055,-1.3933450142713184,-3.0166650966565385,-3.0338869116104092
-4,-4,52,624/677,STABLE,NONZERO_FIXED_POINT,-1.2885086192331432,-1.5727366717766813,-4.735170830831464,-4.7705595527138485
-4,-4,53,2491/2813,STABLE,NONZERO_FIXED_POINT,-1.3050381251982763,-1.7504891419926807,-6.456980268707525,-6.509775987420483
-4,-4,54,621/730,STABLE,NONZERO_FIXED_POINT,-1.3216407827482808,-1.927400831626251,-8.183086015189247,-8.253317269860474
-4,-4,55,2475/3029,STABLE,NONZERO_FIXED_POINT,-1.3383292976503611,-2.1040422678974977,-9.91488888913284,-10.002612959100134
-4,-4,56,616/785,STABLE,NONZERO_FIXED_POINT,-1.3551167615450481,-2.280840332649447,-11.653825267410696,-11.75911421198981
