phi_index,epsilon,asymptotic,finite_horizon_limiting_object_at_k1000,log10_error_k1,log10_error_k2,log10_error_k3,log10_error_k10,log10_error_k99,log10_error_k100
1,99/481,STABLE,NONZERO_FIXED_POINT,-1.1871122323454673,-1.7750188386779602,-2.483734463784046,-7.2855927480182885,-68.38497228441949,-69.07148216619575
2,49/121,STABLE,NONZERO_FIXED_POINT,-0.8988687737488119,-1.073615050367163,-1.567874380156013,-4.289003411479385,-39.229499899768484,-39.62208919005644
3,97/163,STABLE,NONZERO_FIXED_POINT,-0.5769186136762521,-0.43357133553470106,-0.9132868903894646,-2.410424015136968,-22.474716293042718,-22.700132163180427
4,24/31,STABLE,NONZERO_FIXED_POINT,-0.14040683760108053,0.3251867986005976,-0.28389131029835113,-0.8766292073538295,-10.800849151514427,-10.911999603630107
5,95/101,STABLE,NONZERO_FIXED_POINT,0.3793624305231553,1.2801726512202016,0.349534769884567,0.6870532530696778,-1.9649868029704294,-1.9898480644178278
6,47/43,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,1.501112967092503,3.458446553508974,1.5392968983776747,2.100401291764612,1.81660539907557,1.81675089477676
7,651/529,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.5865127605316882,1.5777502262104655,0.6665364713904509,0.954998493493477,0.8835663676342733,0.8835663687714259
8,23/17,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.42030517327967765,1.2041814536001283,0.5270765892178169,0.7319322065899954,0.7046541575743674,0.7046541575744811
9,273/187,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3516677999997597,1.0338645811753508,0.47633662746199334,0.6404642109294514,0.6274810073107346,0.6274810073107346
10,45/29,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.31955454136483663,0.9431445885333787,0.45680667962205845,0.5971830999761991,0.589931409643043,0.589931409643043
11,979/601,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.30509977862329407,0.8931413591262789,0.45165383300861706,0.5770100172650245,0.5724113616264503,0.5724113616263935
12,22/13,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3004038824276414,0.8671784580200104,0.45416692290101324,0.5697445001320531,0.5665072351826268,0.5665072351826268
13,1131/649,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.30162962175415586,0.8568913570633185,0.4612139296950346,0.5704958963128277,0.5680084278960749,0.5680084278960749
14,301/169,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3067606556715834,0.8576915420430886,0.4712007002241734,0.576679546014411,0.5746207612667149,0.5746207612666581
15,85/47,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.31470518473135645,0.86693932336423,0.4832878724660219,0.5868572840657507,0.5850414362705294,0.5850414362705294
16,42/23,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3248871281117829,0.8831028235233518,0.4970475816917528,0.600223015596903,0.5985313232861245,0.5985313232861245
17,1411/769,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3370430506159927,0.9053354489591605,0.5122991700489052,0.6163515370383621,0.614699094420132,0.6146990944200752
18,123/67,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.35111655104477535,0.9332528150310786,0.5290270440025111,0.6350685687587614,0.6333867257204417,0.6333867257204417
19,1539/841,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3672038338855188,0.9668150654175633,0.5473407559204801,0.6563829344667482,0.6546087613185705,0.6546087613185705
20,20/11,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.3855294931213784,1.0062716974170947,0.5674599486495797,0.68045456871954,0.6785235331888089,0.6785235331888089
21,553/307,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.4064432923930248,1.052149850638628,0.5897170437233719,0.7075867126495723,0.7054265819797365,0.7054265819797365
22,429/241,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.430435296739887,1.105280365550012,0.614576271863335,0.7382384931837223,0.7357632781304915,0.7357632781305483
23,1771/1009,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.45817178602585784,1.1668661987786457,0.6426722281863704,0.7730597608553751,0.7701628330546555,0.7701628330546555
24,19/11,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.49056041227504465,1.2386099304355795,0.6748768778194076,0.8129564221532135,0.809501997247736,0.809501997247736
25,375/221,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.528863188843328,1.32293740532414,0.7124138898785546,0.8592048420468927,0.8550169174641269,0.8550169174641269
26,481/289,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.5748966437250083,1.42339607551283,0.7570598157961186,0.9136548139973115,0.9085024029145643,0.9085024029146211
27,657/403,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.6314069470006487,1.5454035922627227,0.8115200390723913,0.9791092610053624,0.972686351075879,0.972686351075879
28,126/79,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.7028364758802841,1.6977795196135368,0.8801960343116981,1.0600977272369647,1.051995753131962,1.0519957531319335
29,2059/1321,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.797098116791993,1.8962927262605724,0.9709602814262155,1.1646609071401244,1.1543305463587217,1.1543305463586648
30,35/23,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.9267680864655765,2.169806135151871,1.096349644615854,1.3055584896356471,1.2922560713564906,1.2922560713564621
31,2139/1441,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,1.1353892880523162,2.6056012702996476,1.2998692469520918,1.5265947319069681,1.5093061319977323,1.5093061319977323
32,68/47,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,1.6575066774166949,3.6681410190890666,1.8160283215389548,2.062687197779489,2.0400181193575975,2.0400181193575975
33,737/523,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,1.4472591870604372,3.2657241295456636,1.5989325863306334,1.8685100075737182,1.8385247364142288,1.8385247364142288
34,561/409,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.9983317441979214,2.3857400367365713,1.1422366745435752,1.4385273959812679,1.3985058517569087,1.3985058517569655
35,455/341,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.7630869350749485,1.9329323438691208,0.8982761655620948,1.226260590890007,1.1723200279216712,1.1723200279222965
36,48/37,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.5972873094345239,1.6188435662634326,0.7227902017536714,1.0892472844267687,1.0157267131623087,1.0157267131727394
37,2331/1849,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.46643105744213464,1.3744866054941163,0.5812574148525833,0.9958251946164722,0.8942218248743643,0.8942218250550127
38,589/481,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.35669045392993226,1.1722217456631796,0.45983454891565856,0.937004632991048,0.7939761151145603,0.793976118393914
39,793/667,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.26110600301255005,0.9981450398068255,0.3515507066472203,0.9149021763545875,0.7080292256759435,0.7080292878101204
40,15/13,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.17567185343940395,0.8442592287817021,0.2523927854195982,0.9454611921426519,0.6323745460580028,0.6323757717678689
41,2419/2161,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.09786558384701394,0.7055333923441438,0.15983520074618696,1.085655846196964,0.5644786508591437,0.5645037729754563
42,203/187,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,0.02599248532699061,0.5785915884535626,0.07218402604410556,1.8388807687838593,0.5024077462451828,0.502941812836383
43,2451/2329,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.041143555354402395,0.46105468851921927,-0.011752343752970518,0.9595408289460039,0.43977247120795937,0.45153052389161985
44,154/151,UNSTABLE,SINGULAR_BOUNDARY_LIMIT,-0.10442024674019024,0.35118005980452693,-0.09284367278826977,0.4925969834731916,0.2750388336869207,0.5511990139567615
45,165/167,STABLE,NONZERO_FIXED_POINT,-0.16450238048273036,0.2476506505884064,-0.17174372272771166,0.17489604683385807,-0.5720259597828772,-0.4571482154300668
