phi_index,epsilon,asymptotic,finite_horizon_limiting_object_at_k1000,log10_error_k1,log10_error_k2,log10_error_k3,log10_error_k10,log10_error_k99,log10_error_k100
46,621/649,STABLE,NONZERO_FIXED_POINT,-0.2219069711135866,0.14944476852216937,-0.2489557936134581,-0.08724102005062662,-1.9445903943505414,-1.958838094959674
47,2491/2689,STABLE,NONZERO_FIXED_POINT,-0.27704527449702354,0.05575209943879145,-0.3248751822257887,-0.3209563932696824,-3.380221998642128,-3.4132440037815286
48,26/29,STABLE,NONZERO_FIXED_POINT,-0.3302508976835927,-0.034082458179778286,-0.3998177586823921,-0.5380166788478746,-4.830199040345406,-4.877616181458194
49,2499/2881,STABLE,NONZERO_FIXED_POINT,-0.3817991957242022,-0.12059753359156389,-0.4740398450886403,-0.7446212652313733,-6.29270678749225,-6.354483509915951
50,125/149,STABLE,NONZERO_FIXED_POINT,-0.4319210191596641,-0.2042427258825832,-0.5477524489928705,-0.9444408875345118,-7.768096567844054,-7.844372813167723
51,833/1027,STABLE,NONZERO_FIXED_POINT,-0.4808126888807607,-0.2853985005640638,-0.6211317186124177,-1.1398243411076336,-9.25686051288909,-9.347785954728465
52,156/199,STABLE,NONZERO_FIXED_POINT,-0.5286433864063689,-0.36439091618891695,-0.6943267997069107,-1.3323604694502365,-10.759553542385447,-10.865282020428879
53,2491/3289,STABLE,NONZERO_FIXED_POINT,-0.5755607336586301,-0.4415027285440587,-0.7674658617715124,-1.523171236799982,-12.276794139597598,-12.397484285543328
54,207/283,STABLE,NONZERO_FIXED_POINT,-0.6097541814791443,-0.5050410084158656,-0.8287199082410641,-1.7011372073615618,-13.797327004724366,-13.933143094791689
55,495/701,STABLE,NONZERO_FIXED_POINT,-0.6220080696339609,-0.5458934888069784,-0.8688562307436882,-1.857548107906588,-15.312576412681949,-15.463689231715023
56,77/113,STABLE,NONZERO_FIXED_POINT,-0.6344729080444109,-0.5863024376218888,-0.9100100561850297,-2.014935794342115,-16.84541870826277,-17.01200642657372
57,817/1243,STABLE,NONZERO_FIXED_POINT,-0.6471578316508886,-0.6263591832058246,-0.9521773397232387,-2.1736072988367496,-18.396676901683122,-18.578925973792366
58,609/961,STABLE,NONZERO_FIXED_POINT,-0.6600727373517437,-0.6661479276463531,-0.9953572141611602,-2.333814515938329,-19.96726590475396,-20.165371999789613
59,2419/3961,STABLE,NONZERO_FIXED_POINT,-0.6732283453323902,-0.705747183044199,-1.0395523413994958,-2.495773429387512,-21.55819670028899,-21.77236567433141
60,10/17,STABLE,NONZERO_FIXED_POINT,-0.6866362692622934,-0.7452309845281402,-1.0847692548234882,-2.65967779847211,-23.170581599742604,-23.401030521120873
61,2379/4201,STABLE,NONZERO_FIXED_POINT,-0.7003090965552055,-0.7846699337083933,-1.131018699125697,-2.8257091052565997,-24.8056406835222,-25.052598923022913
62,589/1081,STABLE,NONZERO_FIXED_POINT,-0.7142604801251888,-0.8241321144126026,-1.1783159751001158,-2.994043950415339,-26.464709544733353,-26.728419943899553
63,777/1483,STABLE,NONZERO_FIXED_POINT,-0.7285052433560217,-0.8636839140682255,-1.2266812979521404,-3.164859706136319,-28.149248487812883,-28.429968620040313
64,72/143,STABLE,NONZERO_FIXED_POINT,-0.7430595003467317,-0.9033907780617518,-1.2761401787214073,-3.3383389919789153,-29.860853369843028,-30.158856910876807
65,455/941,STABLE,NONZERO_FIXED_POINT,-0.7579407939165677,-0.9433179201975435,-1.3267238395852523,-3.514673380293523,-31.601268315900143,-31.916846542670328
66,187/403,STABLE,NONZERO_FIXED_POINT,-0.7731682543693248,-0.9835310095817711,-1.3784696751883487,-3.6940666315434854,-33.37240059259872,-33.705864032203294
67,2211/4969,STABLE,NONZERO_FIXED_POINT,-0.7887627826549419,-1.024096852600815,-1.4314217738305395,-3.876737688788559,-35.17633798864347,-35.528018242810276
68,136/319,STABLE,NONZERO_FIXED_POINT,-0.804747262360257,-1.0650840879859054,-1.4856315144636483,-4.062923613894455,-37.015369131096264,-37.385620905783185
69,713/1747,STABLE,NONZERO_FIXED_POINT,-0.8211468059550615,-1.1065639131805884,-1.5411582581504497,-4.252882619049373,-38.89200726564525,-39.281210640776294
70,105/269,STABLE,NONZERO_FIXED_POINT,-0.8379890419738167,-1.1486108613514183,-1.598070156116819,-4.446897331789614,-40.80901815433282,-41.217581135265334
71,2059/5521,STABLE,NONZERO_FIXED_POINT,-0.8553044514067594,-1.1913036504749943,-1.6564451010303642,-4.645278427565138,-42.769452902843284,-43.19781430336542
72,21/59,STABLE,NONZERO_FIXED_POINT,-0.8731267636145006,-1.2347261291439793,-1.7163718539953194,-4.848368769770559,-44.776686732216604,-45.22531944912484
73,1971/5809,STABLE,NONZERO_FIXED_POINT,-0.8914934247135022,-1.278968348303998,-1.777951387408308,-5.056548213029771,-46.834464971257376,-47.303879723454145
74,481/1489,STABLE,NONZERO_FIXED_POINT,-0.9104461548083336,-1.3241277944278274,-1.8412984938814532,-5.2702392522525585,-48.9469578859339,-49.43770750731227
75,125/407,STABLE,NONZERO_FIXED_POINT,-0.9300316149509733,-1.370310828186561,-1.9065437247524102,-5.4899137395862425,-51.11882640854009,-51.631510804757255
76,114/391,STABLE,NONZERO_FIXED_POINT,-0.9503022106836578,-1.4176343842583385,-1.973835739452717,-5.716100947238722,-53.35530142151799,-53.89057332757744
77,1771/6409,STABLE,NONZERO_FIXED_POINT,-0.9713170670343203,-1.4662280036360684,-2.043344170889881,-5.9493973314746,-55.66228004450272,-56.22085175489673
78,143/547,STABLE,NONZERO_FIXED_POINT,-0.9931432206980917,-1.516236291274062,-2.1152631444595347,-6.190478459732233,-58.0464434491123,-58.629094737980694
79,1659/6721,STABLE,NONZERO_FIXED_POINT,-1.0158570900506794,-1.5678219215308147,-2.1898156329287417,-6.440113710510609,-60.51540220265332,-61.12298971202978
80,10/43,STABLE,NONZERO_FIXED_POINT,-1.03954630437938,-1.6211693551730377,-2.2672588915569936,-6.699184562069632,-63.07787719546883,-63.71134565104842
81,513/2347,STABLE,NONZERO_FIXED_POINT,-1.0643120029799888,-1.6764894900872633,-2.347891305530954,-6.968707577903743,-65.743927103901,-66.40432282838782
82,369/1801,STABLE,NONZERO_FIXED_POINT,-1.0902717567070024,-1.7340255516035192,-2.4320611075424026,-7.249863615846003,-68.52523749305789,-69.2137248397184
83,1411/7369,STABLE,NONZERO_FIXED_POINT,-1.1175633257144781,-1.7940606505339218,-2.5201776067371675,-7.544035398814707,-71.43549271761555,-72.15337426038394
84,28/157,STABLE,NONZERO_FIXED_POINT,-1.146349557989546,-1.856927618673197,-2.6127258428158875,-7.852856493625453,-74.49086077468411,-75.23960239575112
85,255/1541,STABLE,NONZERO_FIXED_POINT,-1.1768248711615552,-1.9230220071974369,-2.7102859926784078,-8.178276122939565,-77.71063491313762,-78.49189737142211
86,301/1969,STABLE,NONZERO_FIXED_POINT,-1.2092239742394293,-1.9928195616752333,-2.8135594994884485,-8.522646377008513,-81.11809700675258,-81.93377622729685
87,377/2683,STABLE,NONZERO_FIXED_POINT,-1.2438338274267178,-2.066900170346482,-2.9234049185077815,-8.88884180677119,-84.74170150681914,-85.59398082928533
88,33/257,STABLE,NONZERO_FIXED_POINT,-1.2810103990333257,-2.1459814040183325,-3.040888156645435,-9.280426988510222,-88.61673431609114,-89.50815349954456
89,979/8401,STABLE,NONZERO_FIXED_POINT,-1.3212027312319243,-2.2309666713472236,-3.1673546408460282,-9.701897177535102,-92.78769524621447,-93.72124353912005
90,15/143,STABLE,NONZERO_FIXED_POINT,-1.3649885087209475,-2.3230163778704878,-3.3045359973785615,-10.159033991482133,-97.31181926994711,-98.29106404835647
91,819/8761,STABLE,NONZERO_FIXED_POINT,-1.4131284319664807,-2.423656692343304,-3.454713146916145,-10.659449139915779,-102.26445943299274,-103.29372921156653
92,46/559,STABLE,NONZERO_FIXED_POINT,-1.4666527507267766,-2.5349526319746456,-3.620975882391761,-11.213449757226662,-107.74765363946088,-108.83230761566577
93,217/3043,STABLE,NONZERO_FIXED_POINT,-1.5270058845535726,-2.6597973201154455,-3.8076567095885423,-11.835484605724602,-113.90444205308299,-115.0512842715926
94,141/2329,STABLE,NONZERO_FIXED_POINT,-1.59630328182626,-2.8024257196571067,-4.02110140501191,-12.546712664445444,-120.94429611770335,-122.16224649358261
95,95/1901,STABLE,NONZERO_FIXED_POINT,-1.6778245896490773,-2.9694009869303883,-4.271148507917527,-13.379934826933166,-129.19194235725018,-130.4932008688268
96,4/101,STABLE,NONZERO_FIXED_POINT,-1.7770641547424297,-3.171715486482384,-4.574280806776777,-14.390098909271572,-139.19136194773813,-140.59362333019277
97,291/9889,STABLE,NONZERO_FIXED_POINT,-1.9043219725306813,-3.4299727012392793,-4.961398171680663,-15.680209140355245,-151.9622946639489,-153.49355405185446
98,49/2521,STABLE,NONZERO_FIXED_POINT,-2.082721883039877,-3.7904236353736707,-5.501872128421724,-17.48150812050281,-169.7940402631688,-171.5054170288167
99,33/3427,STABLE,NONZERO_FIXED_POINT,-2.3860501438057895,-4.400643970359753,-6.417061564760557,-20.531862550389278,-199.99147719551544,-202.0078773600674
100,0,STABLE,NONZERO_FIXED_POINT,,,,,,
